lam flux_nu eflux_nu eflux_nu_lines eflux_nu_spread
1780.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1790.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1800.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1810.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1820.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1830.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1840.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1850.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1860.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1870.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1880.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1890.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1900.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1910.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1920.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1930.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1940.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1950.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1960.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1970.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1980.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1990.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2000.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2010.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2020.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2030.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2040.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2050.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2060.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2070.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2080.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2090.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2100.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2110.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2120.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2130.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2140.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2150.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2160.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2170.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2180.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2190.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2200.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2210.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2220.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2230.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2240.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2250.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2260.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2270.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2280.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2290.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2300.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2310.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2320.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2330.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2340.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2350.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2360.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2370.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2380.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2390.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2400.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2410.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2420.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2430.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2440.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2450.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2460.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2470.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2480.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2490.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2500.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2510.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2520.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2530.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2540.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2550.000000000 0.035456219 0.125325041 0.125325041 0.468923365
2560.000000000 0.035456219 0.125325041 0.125325041 0.468923365
